Sony AF 70-200 mm f/ 2.8 G SSM ,70, 200,2.8,2.8,32,32,1.2
Sony AF 70-300 mm f/ 4.5-5.6 G SSM ,70, 300,4.5, 5.6,30,30,1.2
Sony AF 85 mm f/ 2.8 SAM ,85,85,2.8,2.8,22,22,0.6
Sony AF 100 mm f/ 2.8 Macro ,100,100,2.8,2.8,32,32,0.35
Sony AF 70-400 mm f/ 4-5.6 ,70, 400,4.0, 5.6,22,22,1.5
Sony 500 mm f/ 8 ,500,500,8.0,8.0,8.0,8.0,4
Sony 300 mm f/ 2.8 ,300,300,2.8,2.8,32,32,2
Sony 135 mm f/ 2.8 [T4.5] STF ,135,135,2.8,2.8,32,32,0.87
Minolta AF 3x-1x f/ 1.7-2.8 Macro ,25, 40,1.7, 2.8,16,16,
Minolta AF DT 11-18 mm f/ 4.5-5.6 D ,11, 18,4.5, 5.6,30,30,0.25
Minolta AF 16 mm f/ 2.8 FishEye ,16,16,2.8,2.8,22,22,0.2
Minolta AF 17-35 mm f/ 2.8-4 D ,17, 35,2.8, 4.0,32,32,0.3
Minolta AF 17-35 mm f/ 3.5 G ,17, 35,3.5,3.5,22,22,0.3
Minolta AF DT 18-70 mm f/ 3.5-5.6 D ,18, 70,3.5, 5.6,32,32,0.38
Minolta AF DT 18-200 mm f/ 3.5-6.3 D ,18, 200,3.5, 5.6,32,32,0.45
Minolta AF 20 mm f/ 2.8 RS ,20,20,2.8,2.8,22,22,0.2
Minolta AF 20 mm f/ 2.8 ,20,20,2.8,2.8,22,22,0.2
Nikon AF Nikkor 85 mm f/ 1.4 D ,85,85,1.4,1.4,16,16,0.85
Minolta AF 20-35 mm f/ 3.5-4.5 ,20, 35,3.5, 4.5,20,20,0.5
Minolta AF 24 mm f/ 2.8 RS ,24,24,2.8,2.8,22,22,0.25
Minolta AF 24 mm f/ 2.8 ,24,24,2.8,2.8,22,22,0.25
Minolta AF 24-50 mm f/ 4 RS ,24, 50,4.0,4.0,22,22,0.350
Minolta AF 24-50 mm f/ 4 ,24, 50,4.0,4.0,22,22,0.35
Minolta AF 24-85 mm f/ 3.5-4.5 ,24, 85,3.5, 4.5,22,22,0.5
Minolta AF 24-85 mm f/ 3.5-4.5 RS ,24, 85,3.5, 4.5,22,22,0.5
Minolta AF 24-105 mm f/ 3.5-4.5 D ,24, 105,3.5, 4.5,22,22,0.5
Minolta AF 28 mm f/ 2 ,28,28,2.0,2.0,22,22,0.3
Minolta AF 28 mm f/ 2 RS ,28,28,2.0,2.0,22,22,0.3
Minolta AF 28 mm f/ 2.8 ,28,28,2.8,2.8,22,22,0.3
Minolta AF 28-70 mm f/ 2.8 G ,28, 70,2.8,2.8,22,22,0.85
Minolta AF 28-75 mm f/ 2.8 D ,28, 75,2.8,2.8,32,32,0.33
Minolta AF 28-80 mm f/ 3.5-5.6 II ,28, 80,3.5, 5.6,32,32,0.38
Minolta AF 28-80 mm f/ 3.5-5.6 D ,28, 80,3.5, 5.6,32,32,0.4
Minolta AF 28-80 mm f/ 4-5.6 ,28, 80,4.0, 5.6,32,32,0.4
Minolta AF 28-80 mm xi f/ 4-5.6 ,28, 80,4.0, 5.6,32,32,0.8
Minolta AF 28-85 mm f/ 3.5-4.5 ,28, 85,3.5, 4.5,30,30,0.8
Minolta AF 28-100 mm f/ 3.5-5.6 D ,28, 100,3.5, 5.6,32,32,0.48
