Canon EF 70-200 mm f/ 2.8 L USM ,Canon EF-S
Canon EF 70-200 mm f/ 2.8 L IS USM ,Canon EF (FF)
Canon EF 70-200 mm f/ 2.8 L IS USM ,Canon EF (APS-H)
Canon EF 70-200 mm f/ 2.8 L IS USM ,Canon EF-S
Canon EF 70-200 mm f/ 2.8 L IS II USM ,Canon EF (FF)
Canon EF 70-200 mm f/ 2.8 L IS II USM ,Canon EF (APS-H)
Canon EF 70-200 mm f/ 2.8 L IS II USM ,Canon EF-S
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Canon EF (FF)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Canon EF (APS-H)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Canon EF-S
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Sony A (FF)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Sony A (APS-C)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Nikon F (FX)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Nikon F (DX)
Tamron SP AF 70-200 mm f/ 2.8 Di LD (IF) Macro ,Pentax K
Mir-1 37 mm f/ 2.8 m39 silver ,M39
Mir-1 37 mm f/ 2.8 Black ,M42
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Canon EF (FF)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Canon EF (APS-H)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Canon EF-S
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Sony A (FF)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Sony A (APS-C)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Nikon F (FX)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Nikon F (DX)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,4/3 (Four/Thirds)
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Pentax K
Sigma AF 70-200 mm APO f/ 2.8 EX DG MACRO HSM ,Sigma SA
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Canon EF (FF)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Canon EF (APS-H)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Canon EF-S
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Sony A (FF)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Sony A (APS-C)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Nikon F (FX)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Nikon F (DX)
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Pentax K
Sigma APO 70-200 mm f/ 2.8 EX DG OS HSM ,Sigma SA
SMC Pentax DA* 50-135 mm f/ 2.8 ED [IF] SDM ,Pentax K
Canon EF 14 mm f/ 2.8 L USM ,Canon EF (FF)
Canon EF 14 mm f/ 2.8 L USM ,Canon EF (APS-H)
Canon EF 14 mm f/ 2.8 L USM ,Canon EF-S
Canon EF 14 mm f/ 2.8 L II USM ,Canon EF (FF)
Canon EF 14 mm f/ 2.8 L II USM ,Canon EF (APS-H)
Canon EF 14 mm f/ 2.8 L II USM ,Canon EF-S
Canon EF 15 mm f/ 2.8 Fisheye ,Canon EF (FF)
Canon EF 15 mm f/ 2.8 Fisheye ,Canon EF (APS-H)
Canon EF 15 mm f/ 2.8 Fisheye ,Canon EF-S
Canon EF 20 mm f/ 2.8 USM ,Canon EF (FF)
Canon EF 20 mm f/ 2.8 USM ,Canon EF (APS-H)
Canon EF 20 mm f/ 2.8 USM ,Canon EF-S
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Canon EF (FF)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Canon EF (APS-H)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Canon EF-S
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Sony A (FF)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Sony A (APS-C)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Nikon F (FX)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Nikon F (DX)
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Pentax K
Sigma AF 20 mm f/ 1.8 EX DG ASPHERICAL RF ,Sigma SA
Carl Zeiss Sonnar T* 180 mm f/ 2.8 C/Y ,C/Y (contax/yashica)
Canon EF 24 mm f/ 1.4 L USM ,Canon EF (FF)
Canon EF 24 mm f/ 1.4 L USM ,Canon EF (APS-H)
Canon EF 24 mm f/ 1.4 L USM ,Canon EF-S
Canon EF 24 mm f/ 1.4 L II USM ,Canon EF (FF)
Canon EF 24 mm f/ 1.4 L II USM ,Canon EF (APS-H)
Canon EF 24 mm f/ 1.4 L II USM ,Canon EF-S
Canon EF 24 mm f/ 2.8 ,Canon EF (FF)
Canon EF 24 mm f/ 2.8 ,Canon EF (APS-H)
Canon EF 24 mm f/ 2.8 ,Canon EF-S
Canon EF 24-105 mm f/ 4 L IS USM ,Canon EF (FF)
Canon EF 24-105 mm f/ 4 L IS USM ,Canon EF (APS-H)
Canon EF 24-105 mm f/ 4 L IS USM ,Canon EF-S
Canon EF 24-70 mm f/ 2.8 L USM ,Canon EF (FF)
Canon EF 24-70 mm f/ 2.8 L USM ,Canon EF (APS-H)
Canon EF 24-70 mm f/ 2.8 L USM ,Canon EF-S
Jupiter-6 180 mm f/ 2.8 ,M39
Jupiter 6-2 180 mm f/ 2.8 ,M42
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Canon EF (FF)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Canon EF (APS-H)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Canon EF-S
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Sony A (FF)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Sony A (APS-C)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Nikon F (FX)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Nikon F (DX)
Tamron SP AF 17-50 mm f/ 2.8 XR Di II LD Aspherical (IF) ,Pentax K
Canon EF 28 mm f/ 1.8 USM ,Canon EF (FF)
Canon EF 28 mm f/ 1.8 USM ,Canon EF (APS-H)
Canon EF 28 mm f/ 1.8 USM ,Canon EF-S
Canon EF 28 mm f/ 2.8 ,Canon EF (FF)
Canon EF 28 mm f/ 2.8 ,Canon EF (APS-H)
Canon EF 28 mm f/ 2.8 ,Canon EF-S
Tokina AT-X MACRO 90 mm f/ 2.5 ,C/Y (contax/yashica)
Tokina AT-X MACRO 90 mm f/ 2.5 ,Canon FD
Tokina AT-X MACRO 90 mm f/ 2.5 ,Nikon F (FX)
Tokina AT-X MACRO 90 mm f/ 2.5 ,Nikon F (DX)
Tokina AT-X MACRO 90 mm f/ 2.5 ,Olympus OM
Tokina AT-X MACRO 90 mm f/ 2.5 ,Pentax K
Canon EF 35 mm f/ 2 ,Canon EF (FF)
Canon EF 35 mm f/ 2 ,Canon EF (APS-H)
Canon EF 35 mm f/ 2 ,Canon EF-S
Nikon AF Nikkor 50 mm f/ 1.4 D ,Nikon F (FX)
Nikon AF Nikkor 50 mm f/ 1.4 D ,Nikon F (DX)
Canon EF 85 mm f/ 1.2 L USM ,Canon EF (FF)
Canon EF 85 mm f/ 1.2 L USM ,Canon EF (APS-H)
Canon EF 85 mm f/ 1.2 L USM ,Canon EF-S
Canon EF 85 mm f/ 1.2 L II USM ,Canon EF (FF)
Canon EF 85 mm f/ 1.2 L II USM ,Canon EF (APS-H)
Canon EF 85 mm f/ 1.2 L II USM ,Canon EF-S
Canon EF 100 mm f/ 2 USM ,Canon EF (FF)
Canon EF 100 mm f/ 2 USM ,Canon EF (APS-H)
Canon EF 100 mm f/ 2 USM ,Canon EF-S
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Canon FD
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Nikon F (FX)
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Nikon F (DX)
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Olympus OM
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Pentax K
Vivitar Series 1 Macro 90 mm f/ 2.5 (Tokina) ,Minolta SR
Sony E 18-55 mm f/ 3.5-5.6 OSS ,Sony E (FF)
Sony E 18-55 mm f/ 3.5-5.6 OSS ,Sony E (APS-C)
Sony E 16 mm f/ 2.8 ,Sony E (FF)
Sony E 16 mm f/ 2.8 ,Sony E (APS-C)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Canon EF (FF)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Canon EF (APS-H)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Canon EF-S
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Sony A (FF)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Sony A (APS-C)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Nikon F (FX)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Nikon F (DX)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,4/3 (Four/Thirds)
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Pentax K
Sigma AF 30 mm f/ 1.4 EX DC HSM ,Sigma SA
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Canon EF (FF)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Canon EF (APS-H)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Canon EF-S
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Sony A (FF)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Sony A (APS-C)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Nikon F (FX)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Nikon F (DX)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,4/3 (Four/Thirds)
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Pentax K
Sigma AF 50 mm f/ 1.4 EX DG HSM ,Sigma SA
Olympus ZUIKO DIGITAL ED 7-14 mm f/ 4 ,4/3 (Four/Thirds)
Olympus ZUIKO DIGITAL ED 14-35 mm f/ 2 SWD ,4/3 (Four/Thirds)
Olympus ZUIKO DIGITAL ED 35-100 mm f/ 2 ,4/3 (Four/Thirds)
Olympus Zuiko Digital ED 90-250 mm f/ 2.8 ,4/3 (Four/Thirds)
Olympus Zuiko Digital ED 150 mm f/ 2 ,4/3 (Four/Thirds)
Olympus Zuiko Digital ED 300 mm f/ 2.8 ,4/3 (Four/Thirds)
Mir-24 35 mm f/ 2 ,M42
Mir-24 35 mm f/ 2 ,Nikon F (FX)
Mir-24 35 mm f/ 2 ,Nikon F (DX)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Canon EF (FF)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Canon EF (APS-H)
Sigma 24-70 mm f/ 2.8 EX DG Macro ,Canon EF-S
